trade_id,datetime_utc,symbol,bitget_symbol,company,direction,entry_price,exit_price,quantity,collateral_usd,trade_volume_usd,fee_usd,gross_pnl_usd,net_pnl_usd,net_return_pct,balance_before,balance_after,z_score,hit_stop_loss,status
PT-rNVDA-0001,2026-07-13 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,209.41,208.82,11.9383,2500.0,2500.0,3.0,7.04,4.04,0.16,50000.0,50004.04,1.81,False,WIN
PT-rNVDA-0002,2026-07-14 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,208.82,207.8,11.972,2500.0,2499.99,3.0,12.21,9.21,0.37,50004.04,50013.25,1.52,False,WIN
PT-rAAPL-0088,2026-07-14 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,326.2,331.73,7.664,2500.0,2500.0,3.0,-42.38,-45.38,-1.82,50013.25,49967.87,1.68,False,LOSS
PT-rAAPL-0089,2026-07-15 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,331.73,332.34,7.5362,2500.0,2499.98,3.0,-4.6,-7.6,-0.3,49967.87,49960.27,1.93,False,LOSS
PT-rTSLA-0024,2026-07-16 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,382.66,382.12,6.5332,2500.0,2499.99,3.0,-3.53,-6.53,-0.26,49960.27,49953.74,-1.68,False,LOSS
PT-rAAPL-0090,2026-07-16 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,332.34,332.49,7.5224,2500.0,2499.99,3.0,-1.13,-4.13,-0.17,49953.74,49949.61,1.81,False,LOSS
PT-rQQQ-0114,2026-07-16 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,700.81,695.59,3.5673,2500.0,2500.0,3.0,-18.62,-21.62,-0.86,49949.61,49927.99,-2.37,False,LOSS
PT-rTSLA-0025,2026-07-17 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,382.12,382.16,6.5424,2500.0,2499.98,3.0,0.26,-2.74,-0.11,49927.99,49925.25,-1.77,False,LOSS
PT-rAAPL-0091,2026-07-17 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,332.49,333.8,7.519,2500.0,2499.99,3.0,-9.85,-12.85,-0.51,49925.25,49912.4,1.67,False,LOSS
PT-rQQQ-0115,2026-07-17 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,695.59,695.22,3.5941,2500.0,2500.02,3.0,-1.33,-4.33,-0.17,49912.4,49908.07,-2.7,False,LOSS
PT-rTSLA-0026,2026-07-18 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,382.16,374.59,6.5418,2500.0,2500.01,3.0,-49.52,-52.52,-2.1,49908.07,49855.55,-1.81,False,LOSS
PT-rAAPL-0092,2026-07-18 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,333.8,326.2,7.4895,2500.0,2500.0,3.0,56.92,53.92,2.16,49855.55,49909.47,1.67,False,WIN
PT-rQQQ-0116,2026-07-18 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,695.22,703.43,3.596,2500.0,2500.01,3.0,29.52,26.52,1.06,49909.47,49935.99,-2.36,False,WIN
PT-rTSLA-0027,2026-07-19 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,374.59,381.26,6.674,2500.0,2500.01,3.0,44.52,41.52,1.66,49935.99,49977.51,-2.26,False,WIN
PT-rCOIN-0047,2026-07-20 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,180.8,170.08,13.8274,2500.0,2499.99,3.0,148.23,145.23,5.81,49977.51,50122.74,3.99,False,WIN
PT-rNVDA-0003,2026-07-21 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,213.37,208.24,11.7167,2500.0,2499.99,3.0,60.11,57.11,2.28,50122.74,50179.85,1.84,False,WIN
PT-rTSLA-0028,2026-07-21 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,378.55,324.95,6.6041,2500.0,2499.98,3.0,-87.5,-90.5,-3.62,50179.85,50089.35,-1.65,True,LOSS
PT-rTSLA-0029,2026-07-22 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,324.95,311.36,7.6935,2500.0,2500.0,3.0,-87.5,-90.5,-3.62,50089.35,49998.85,-6.21,True,LOSS
PT-rQQQ-0117,2026-07-22 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,692.51,692.51,3.6101,2500.0,2500.03,3.0,0.0,-3.0,-0.12,49998.85,49995.85,-2.11,False,LOSS
PT-rSPY-0134,2026-07-22 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,LONG,738.85,743.99,3.3836,2500.0,2499.97,3.0,17.39,14.39,0.58,49995.85,50010.24,-2.73,False,WIN
PT-rTSLA-0030,2026-07-23 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,311.36,311.33,8.0293,2500.0,2500.0,3.0,-0.24,-3.24,-0.13,50010.24,50007.0,-4.22,False,LOSS
PT-rAAPL-0093,2026-07-23 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,333.08,332.65,7.5057,2500.0,2500.0,3.0,3.23,0.23,0.01,50007.0,50007.23,1.54,False,WIN
PT-rQQQ-0118,2026-07-23 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,692.51,686.86,3.6101,2500.0,2500.03,3.0,-20.4,-23.4,-0.94,50007.23,49983.83,-1.82,False,LOSS
